round_id,published_at,public_figure,panelist,outcome,playable
ko-205,2022-10-07T10:50:00-03:00,Arthur do Val,Fernando de Barros e Silva,did_not_win,true
ko-205,2022-10-07T10:50:00-03:00,Arthur do Val,José Roberto de Toledo,winner,true
ko-205,2022-10-07T10:50:00-03:00,Arthur do Val,Thais Bilenky,did_not_win,true
ko-204,2022-10-14T10:50:00-03:00,Nikolas Ferreira,Fernando de Barros e Silva,did_not_win,true
ko-204,2022-10-14T10:50:00-03:00,Nikolas Ferreira,José Roberto de Toledo,winner,true
ko-204,2022-10-14T10:50:00-03:00,Nikolas Ferreira,Thais Bilenky,winner,true
ko-203,2022-10-21T10:50:00-03:00,Braga Netto,Fernando de Barros e Silva,did_not_win,true
ko-203,2022-10-21T10:50:00-03:00,Braga Netto,José Roberto de Toledo,winner,true
ko-203,2022-10-21T10:50:00-03:00,Braga Netto,Thais Bilenky,did_not_win,true
ko-202,2022-10-28T10:45:00-03:00,Leonardo (cantor),Fernando de Barros e Silva,did_not_win,true
ko-202,2022-10-28T10:45:00-03:00,Leonardo (cantor),José Roberto de Toledo,winner,true
ko-202,2022-10-28T10:45:00-03:00,Leonardo (cantor),Thais Bilenky,did_not_win,true
ko-200,2022-11-04T10:45:00-03:00,Denise Fraga,Fernando de Barros e Silva,did_not_win,true
ko-200,2022-11-04T10:45:00-03:00,Denise Fraga,José Roberto de Toledo,winner,true
ko-200,2022-11-04T10:45:00-03:00,Denise Fraga,Thais Bilenky,did_not_win,true
ko-199,2022-11-11T10:45:00-03:00,Carlos Lupi,Fernando de Barros e Silva,did_not_win,true
ko-199,2022-11-11T10:45:00-03:00,Carlos Lupi,José Roberto de Toledo,winner,true
ko-199,2022-11-11T10:45:00-03:00,Carlos Lupi,Thais Bilenky,did_not_win,true
ko-197,2022-11-18T10:47:27-03:00,André Janones,Fernando de Barros e Silva,did_not_win,true
ko-197,2022-11-18T10:47:27-03:00,André Janones,José Roberto de Toledo,winner,true
ko-197,2022-11-18T10:47:27-03:00,André Janones,Thais Bilenky,winner,true
ko-197,2022-11-18T10:47:27-03:00,André Janones,Bernardo Esteves,did_not_win,true
ko-196,2022-11-25T10:47:00-03:00,Gilson Machado,Fernando de Barros e Silva,did_not_win,true
ko-196,2022-11-25T10:47:00-03:00,Gilson Machado,José Roberto de Toledo,winner,true
ko-196,2022-11-25T10:47:00-03:00,Gilson Machado,Thais Bilenky,did_not_win,true
ko-195,2022-12-02T10:45:00-03:00,Walter Casagrande,Fernando de Barros e Silva,did_not_win,true
ko-195,2022-12-02T10:45:00-03:00,Walter Casagrande,José Roberto de Toledo,did_not_win,true
ko-195,2022-12-02T10:45:00-03:00,Walter Casagrande,Thais Bilenky,winner,true
ko-194,2022-12-09T10:43:00-03:00,Aécio Neves,Fernando de Barros e Silva,did_not_win,true
ko-194,2022-12-09T10:43:00-03:00,Aécio Neves,José Roberto de Toledo,winner,true
ko-194,2022-12-09T10:43:00-03:00,Aécio Neves,Thais Bilenky,did_not_win,true
ko-193,2022-12-16T10:43:00-03:00,,Fernando de Barros e Silva,did_not_win,false
ko-193,2022-12-16T10:43:00-03:00,,José Roberto de Toledo,did_not_win,false
ko-193,2022-12-16T10:43:00-03:00,,Thais Bilenky,did_not_win,false
ko-192,2022-12-23T10:43:00-03:00,Felipe Dávila,Fernando de Barros e Silva,winner,true
ko-192,2022-12-23T10:43:00-03:00,Felipe Dávila,Thais Bilenky,did_not_win,true
ko-192,2022-12-23T10:43:00-03:00,Felipe Dávila,Ana Clara Costa,did_not_win,true
ko-190,2023-01-06T10:43:00-03:00,Ernesto Araújo,Fernando de Barros e Silva,did_not_win,true
ko-190,2023-01-06T10:43:00-03:00,Ernesto Araújo,José Roberto de Toledo,winner,true
ko-190,2023-01-06T10:43:00-03:00,Ernesto Araújo,Thais Bilenky,did_not_win,true
ko-188,2023-01-13T10:43:00-03:00,Silvio Almeida,Fernando de Barros e Silva,did_not_win,true
ko-188,2023-01-13T10:43:00-03:00,Silvio Almeida,José Roberto de Toledo,did_not_win,true
ko-188,2023-01-13T10:43:00-03:00,Silvio Almeida,Marina Dias,winner,true
ko-188,2023-01-13T10:43:00-03:00,Silvio Almeida,Samira Bueno,did_not_win,true
ko-188,2023-01-13T10:43:00-03:00,Silvio Almeida,Lira Neto,did_not_win,true
ko-187,2023-01-20T10:43:00-03:00,Soraya Thronicke,Fernando de Barros e Silva,did_not_win,true
ko-187,2023-01-20T10:43:00-03:00,Soraya Thronicke,José Roberto de Toledo,winner,true
